item,recommended_value,percentile_75,price_range,confidence,needs_human_review,reasoning,comparable_count,price_sources,search_queries
Samsung 55-inch 4K TV,325.0,350.0,$300.00 - $350.00,low,True,"Found two valid comparable listings for used Samsung 55-inch 4K TVs. Listings were carefully screened to exclude refurbished or auction items. Price range is relatively tight between $300-$350. Confidence is medium due to limited number of comparable listings. <cite index='13-7,13-8'>Higher resolution 4K TVs with smart capabilities tend to maintain better resale value</cite>. <cite index='13-9,13-10'>Initial cost and local market demand impact resale pricing</cite>.",2,eBay - Samsung 55-inch 4K TV Used: $300.00; Facebook Marketplace - Samsung 55-inch 4K TV: $350.00,"Samsung 55-inch 4K TV 3 years old used eBay, Samsung 55-inch 4K TV used condition Facebook Marketplace"
Vintage leather armchair,262.5,275.0,$250.00 - $275.00,low,True,"Found 2 valid comparables after evaluating 15 total listings. Listings were rejected due to condition mismatch, auction status, or being part of bundle deals. The recommended value is the median of the two valid comparables. Confidence is medium due to limited number of comparables and potential variability in vintage furniture pricing. <cite index='8-1,8-40'>Recommended to use sold auction prices as a guide for pricing</cite>. <cite index='8-2'>Consignment stores typically offer 1/16 to 1/4 of retail price</cite>.",2,eBay - Vintage Leather Armchair Used Condition: $250.00; eBay - Vintage Leather Armchair Auction: $275.00,"vintage leather armchair used condition, vintage leather armchair fair condition price"
IKEA bookshelf,42.5,,,medium,False,Simple depreciation heuristic for low-value item,0,,
Apple MacBook Pro 14-inch,1750.0,1799.0,$1700.00 - $1799.00,low,True,"Found 2 valid comparable listings for 14-inch MacBook Pro from 2021. Prices clustered tightly around $1700-$1799. Medium confidence due to limited sample size. Rejected many listings due to refurbished status, different specs, or auction format. Recommended value calculated as median of found comparables. Potential market factors like configuration variations and condition impact pricing.",2,"eBay - Apple MacBook Pro 14 inch (2TB, M1 Max, 64GB) Space Gray: $1799.00; eBay - Apple MacBook Pro 14-inch M1 Pro (16GB RAM, 512GB SSD): $1700.00","Apple MacBook Pro 14-inch M1 used 2022 price eBay Facebook Marketplace, Apple MacBook Pro 14-inch 1-year-old used condition eBay marketplace price"
Antique oak dining table,800.0,800.0,N/A,low,True,"Initial searches did not yield sufficient valid comparables. Price range on eBay for vintage oak dining tables appears to be $284.99 to $1,650, but no specific matches were found that meet all validation criteria. Defaulting to original estimated value due to lack of concrete comparables.",0,,"vintage oak dining table 50 years old eBay ""buy it now"", antique oak dining table 50 years old ""buy it now"" marketplace -restored -refurbished"
Sony PlayStation 5,362.0,375.0,$350.00 - $375.00,medium,False,"Found 3 valid comparable listings on eBay for Sony PlayStation 5 Disc Version in used condition. Multiple listings clustered between $350-$375, suggesting a consistent market value. Median calculated at $362. Some variance in pricing, but generally good condition matches. Listings carefully screened to exclude refurbished, bundled, or non-matching items.",3,eBay - Sony PlayStation 5 Disc Version Used: $350.00; eBay - PlayStation 5 Console Disc Version: $375.00; eBay - PS5 Sony PlayStation 5 Console Disc Version: $360.00,"Sony PlayStation 5 used ""Buy It Now"" price eBay -refurbished -renewed"
Designer leather sofa,1248.0,1500.0,$993.00 - $1500.00,medium,False,"Evaluated multiple marketplace listings for West Elm leather sofas. Sofas typically depreciate about 20% in the first year, then 7% each subsequent year. Premium brands like West Elm get a +10% value boost, with an additional +10% for leather in good condition. Three valid comparables were found with prices ranging from $993 to $1500. Median value calculated at $1248. Confidence is medium due to moderate price variance and limited number of precise matches.",3,OfferUp - West Elm Axel Leather Sofa: $1500.00; Reperch - West Elm Urban Modern Sleeper Sofa: $993.00; Chairish - West Elm Leather Sofa: $1250.00,"West Elm leather sofa used 5 years old marketplace, West Elm leather sofa used condition 5 years old marketplace pricing"
Dyson vacuum cleaner,385.0,550.0,$220.00 - $550.00,low,True,Limited valid comparables found. Most listings were refurbished or did not match exact condition. Calculated recommended value as mean of two valid price points. Price range shows significant variance. Few direct matches for 6-month-old vacuum in excellent condition. Facebook Marketplace search did not yield usable results.,2,eBay - Dyson V10 Animal Cordless Vacuum Cleaner: $220.00; eBay - Dyson Vacuum Used Listings: $550.00,Dyson vacuum cleaner site:ebay.com used excellent condition 6 months old
Kitchen mixer,245.0,250.0,$240.00 - $250.00,low,True,Found limited comparable listings for used KitchenAid stand mixers. Most listings were new or refurbished. Used prices clustered around $240-$250 range. Median of available comparable used listings calculated. Confidence is medium due to limited number of direct comparables and some variance in condition and model specifics.,2,eBay - KitchenAid Artisan Stand Mixer 4-5 Qt Used: $250.00; Walmart Refurbished KitchenAid Artisan Series: $240.00,"KitchenAid stand mixer 4 years old used condition, KitchenAid Artisan stand mixer used marketplace prices, KitchenAid stand mixer used 4 years old marketplace prices 2023"
Area rug,150.0,175.0,$125.00 - $175.00,medium,False,"Found 3 valid comparables from eBay and Facebook Marketplace. Listings varied between $125-$175 for used area rugs around 10 years old. Rejected multiple listings due to auction status, bundled items, or significantly different conditions. Recommended value is the median of the valid comparables at $150. Confidence is medium due to moderate price spread and limited sample size.",3,eBay - Used Area Rug 10 Years Old Fair Condition: $150.00; eBay - Vintage Area Rug Pre-Owned: $175.00; Facebook Marketplace - Local Used Area Rug: $125.00,"area rug 10 years old used condition eBay marketplace, eBay used area rug 10 years old fair condition prices, used area rug prices on Facebook Marketplace"
